name,prefix,alias
Polígono Sur,null,Instituto
La Campana,null,Instituto
San Matías,null,Instituto
Joaquín Costa,null,Instituto
Huelin,null,Instituto
Laudio,null,Instituto
Río Verde,null,Instituto
Bellavista,null,Instituto
Las Lagunas,null,Instituto
Egara,null,Instituto
Pere Calders,null,Instituto
Salvador Dalí,null,Instituto
Alcarria Baja,null,Instituto
San Benito,null,Instituto
Gustavo Adolfo Becquer,null,Instituto
Retamar,null,Instituto
La Loma,null,Instituto
Consell De Cent,null,Instituto
Àgora,null,Instituto
Pla De L'estany,null,Instituto
Mollerussa,null,Instituto
Sanchís Banús,"CEE PÚB. ",Colegio
L'estel- Can Bori,null,Colegio
Paidos,null,Escuela Infantil
Virgen Macarena,null,Colegio
Francesc Bellapart,null,Colegio
Can Rigol,null,Colegio
Comarcal Carmen Picó,"CEE PÚB. ",Colegio
Santo Ángel De La Guarda,"CEE PÚB. ",Colegio
Mingoliva,null,Colegio
Fray Pedro Ponce De León,null,Colegio
Andrés Muñoz Garde,null,Colegio
Sordos,null,Colegio
Municipal Vil·la Joana,null,Colegio
Pla De La Mesquita,"CEE PÚB. ",Colegio
Pontevedra,null,Instituto
Font De L'abella,null,Colegio
Arboleda,null,Instituto
Miño,null,Instituto
Virgen De La Esperanza,null,Colegio
Maestro D. Eusebio Martínez,null,Colegio
Pintor Martín Saez,null,Colegio
María Felip,null,Colegio
C.e.e. santullano,null,Escuela Infantil
Pueblos Blancos,null,Colegio
Stmo.cristo De La Misericordia,null,Colegio
Escola Llevant,null,Colegio
Garbí,null,Colegio
Érase Una Vez,null,Escuela Infantil
Santa María De La Iglesia,null,Colegio
Alberto Tortajada,"CEE PÚB. ",Colegio
Vicente Aleixandre,null,Colegio
Gabriel María De Ibarra.,null,Instituto
De Reus,null,Colegio
Tamarit,"CEE PÚB. ",Colegio
Centro De Educación Especial De Monforte De Lemos,null,Instituto
Siloé,null,Colegio
C.e.e. castiello De Bernueces,null,Escuela Infantil
CP De Educación Especial Nº 1,CP,Instituto
Antonio Sequeros,"CEE PÚB. ",Colegio
Manuel López Navalón,null,Instituto
Penyeta Roja,"CEE PÚB. ",Colegio
De Tarazona,null,Instituto
Príncipe Felipe,null,Colegio
Primitiva López,null,Colegio
Eloy Camino,null,Instituto
Sant Joan De La Creu,null,Colegio
Sonrisas,null,Escuela Infantil
Donald,null,Escuela Infantil
La Panderola,"CEE PÚB. ",Colegio
Puerta De Santa María,null,Colegio
María Auxiliadora,null,Escuela Infantil
A Barcia,null,Instituto
Cee Son Ferriol,null,Colegio
Ventijol,null,Colegio
El Pilar,null,Colegio
Castell Vell,"CEE PÚB. ",Colegio
Nosa Señora Do Rosario,null,Instituto
C.e.e. juan Luis Iglesias Prada,null,Escuela Infantil
Concha Espina,null,Colegio
Gloria Fuertes,null,Instituto
Walt Disney,null,Escuela Infantil
Horitzó,null,Colegio
Miquel Burguera,"CEE PÚB. ",Colegio
Sierra Nevada,null,Instituto
Directora Mercedes Sanromá,null,Colegio
Maregassa,null,Instituto
Ruiz Jiménez,"CEE PÚB. ",Colegio
Santa Teresa,null,Escuela Infantil
Cardenal Cisneros,null,Colegio
Ascruz,null,Colegio
De Vilagarcía De Arousa,null,Instituto
San Cristobal,null,Colegio
La Maçana,null,Colegio
Esc.sordos Patronato Mun.,null,Instituto
Segeda,null,Colegio
Esc.de Orientacion Maritima (f),null,Instituto
Centro De Educación Especial De A Lanzada,null,Instituto
Escuela De Arte,null,Instituto
De Educación Especial,null,Escuela Infantil
Petra Lorenzo,null,Colegio
Ciudad De Toledo,null,Instituto
Jeroni De Moragas,null,Colegio
Rosa Llácer,"CEE PÚB. ",Colegio
Montserrat Montero,null,Colegio
Nuestra Señora de Las Cruces,null,Colegio
Marente,null,Colegio
Baix Maestrat,"CEE PÚB. ",Colegio
Lo Morant,"CEE PÚB. ",Colegio
La Unión,"CEE PÚB. ",Colegio
El Pontarró,null,Colegio
Centro De Sordomudos Y E.especial,null,Colegio
Luna,null,Escuela Infantil
Pérez Urruti,null,Colegio
